entity_id,account_number,account_description,ending_balance,ending_balance_gc,beginning_balance,beginning_balance_gc,je_activity,debit_amount,credit_amount,number_of_lines,number_of_entries,financial_statement_category,financial_statement_line,account_grouping_1,trial_activity,variance,abs_variance,reconciliation,reconciliation_currency
ENT01,41001400,Sales Revenue - Domestic,-445000000.0,-5354993.98,0.0,0.0,-18050000.0,500000.0,18550000.0,4,4,Revenue,NET SALES REVENUE,Revenue,-445000000.0,-426950000.0,426950000.0,Unreconciled,Entity Currency
ENT01,41001500,Sales Revenue - Export,-50500000.0,-607701.56,0.0,0.0,-8500000.0,0.0,8500000.0,1,1,Revenue,NET SALES REVENUE,Revenue,-50500000.0,-42000000.0,42000000.0,Unreconciled,Entity Currency
ENT01,41301200,Interest Income,-4600000.0,-55354.99,0.0,0.0,-800000.0,0.0,800000.0,1,1,Revenue,Finance income,Other Income,-4600000.0,-3800000.0,3800000.0,Unreconciled,Entity Currency
ENT01,41301600,Miscellaneous Income,-1800000.0,-21660.65,0.0,0.0,1200000.0,1200000.0,0.0,2,2,Revenue,"Other operating income (expenses), net",Other Income,-1800000.0,-3000000.0,3000000.0,Unreconciled,Entity Currency
ENT01,50001000,Cost of Goods Sold,248000000.0,2984356.2,0.0,0.0,35500000.0,54000000.0,18500000.0,3,3,Expenses,COST OF SALES AND SERVICES,COGS,248000000.0,212500000.0,212500000.0,Unreconciled,Entity Currency
ENT01,51001000,Property Plant and Machinery,558000000.0,6714801.44,540000000.0,6498194.95,22000000.0,22000000.0,0.0,1,1,Assets,"Property, plant and equipment",PPE - Gross,18000000.0,-4000000.0,4000000.0,Unreconciled,Entity Currency
ENT01,51002000,Accumulated Depreciation,-201000000.0,-2418772.56,-180000000.0,-2166064.98,-5000000.0,0.0,5000000.0,1,1,Assets,"Property, plant and equipment",PPE - AccDep,-21000000.0,-16000000.0,16000000.0,Unreconciled,Entity Currency
ENT01,52001000,Employee Compensation,60000000.0,722021.66,0.0,0.0,4000000.0,4000000.0,0.0,1,1,Expenses,General and administrative expenses,Staff Costs,60000000.0,56000000.0,56000000.0,Unreconciled,Entity Currency
ENT01,52002500,Consultancy and Audit Fees,6000000.0,72202.17,0.0,0.0,1000000.0,1000000.0,0.0,1,1,Expenses,General and administrative expenses,Admin,6000000.0,5000000.0,5000000.0,Unreconciled,Entity Currency
ENT01,52003000,Depreciation Expense,21000000.0,252707.58,0.0,0.0,5000000.0,5000000.0,0.0,1,1,Expenses,Depreciation and amortisation,Depreciation,21000000.0,16000000.0,16000000.0,Unreconciled,Entity Currency
ENT01,52004000,Finance Costs - Interest,11200000.0,134777.38,0.0,0.0,2700000.0,2700000.0,0.0,1,1,Expenses,Finance costs,Finance Costs,11200000.0,8500000.0,8500000.0,Unreconciled,Entity Currency
