entity_id,entity_name,journal_number,journal_line_number,account_number,date_effective,date_posted,time_posted,fiscal_year,fiscal_period,transaction_type,transaction_type_description,net_amount_ec,debit_amount_ec,credit_amount_ec,net_amount_gc,debit_amount_gc,credit_amount_gc,net_amount_oc,debit_amount_oc,credit_amount_oc,entity_currency_ec,group_currency_gc,original_currency_oc,dc_indicator,is_standard,is_manual,chart_of_accounts,journal_header_description,journal_line_description,userid_entered,user_name_entered,userid_approved,user_name_approved,source,business_area,cost_center,profit_center
ENT01,JIOSAT Manufacturing Pvt. Ltd.,PC2026000060,PC2026000060-01,52001000,07/31/2025,07/31/2025,23:55:00,2026,4,PC,Payroll,4000000.0,4000000.0,0.0,48134.78,48134.78,0.0,4000000.0,4000000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Payroll July 2025,Monthly salary expense,SYSTEM,System Batch,SYSTEM,System Batch,PC,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,PC2026000060,PC2026000060-02,10100000,07/31/2025,07/31/2025,23:55:00,2026,4,PC,Payroll,-4000000.0,0.0,4000000.0,-48134.78,0.0,48134.78,-4000000.0,0.0,4000000.0,INR,USD,INR,C,S,A,JIOSAT,Payroll July 2025,Bank payment - payroll,SYSTEM,System Batch,SYSTEM,System Batch,PC,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,AF2026000070,AF2026000070-01,52003000,09/30/2025,09/30/2025,22:00:00,2026,6,AF,Depreciation Run,5000000.0,5000000.0,0.0,60168.47,60168.47,0.0,5000000.0,5000000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Depreciation Q2 FY26,Depreciation expense,BATCH,System Batch,SYSTEM,System Batch,AF,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,AF2026000070,AF2026000070-02,51002000,09/30/2025,09/30/2025,22:00:00,2026,6,AF,Depreciation Run,-5000000.0,0.0,5000000.0,-60168.47,0.0,60168.47,-5000000.0,0.0,5000000.0,INR,USD,INR,C,S,A,JIOSAT,Depreciation Q2 FY26,Accumulated depreciation credit,BATCH,System Batch,SYSTEM,System Batch,AF,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,ZP2026000080,ZP2026000080-01,20200000,10/15/2025,10/15/2025,16:45:00,2026,7,ZP,Payment,20000000.0,20000000.0,0.0,240673.89,240673.89,0.0,20000000.0,20000000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Loan Repayment Q3,Long-term loan principal repayment,TRAO,T. Rao,FINANCE_MGR,Finance Manager,ZP,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,ZP2026000080,ZP2026000080-02,10100000,10/15/2025,10/15/2025,16:45:00,2026,7,ZP,Payment,-20000000.0,0.0,20000000.0,-240673.89,0.0,240673.89,-20000000.0,0.0,20000000.0,INR,USD,INR,C,S,A,JIOSAT,Loan Repayment Q3,Bank outflow - HDFC settlement,TRAO,T. Rao,FINANCE_MGR,Finance Manager,ZP,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,ZP2026000090,ZP2026000090-01,10200000,10/31/2025,10/31/2025,17:00:00,2026,7,ZP,Payment,800000.0,800000.0,0.0,9626.96,9626.96,0.0,800000.0,800000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Interest Income Oct,FD interest receipt,BATCH,System Batch,SYSTEM,System Batch,ZP,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,ZP2026000090,ZP2026000090-02,41301200,10/31/2025,10/31/2025,17:00:00,2026,7,ZP,Payment,-800000.0,0.0,800000.0,-9626.96,0.0,9626.96,-800000.0,0.0,800000.0,INR,USD,INR,C,S,A,JIOSAT,Interest Income Oct,Interest income recognition,BATCH,System Batch,SYSTEM,System Batch,ZP,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,WA2026000100,WA2026000100-01,50001000,11/10/2025,11/10/2025,07:30:00,2026,8,WA,Goods Issue,42000000.0,42000000.0,0.0,505415.16,505415.16,0.0,42000000.0,42000000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,GI to Production,Raw material issued to production,BATCH,System Batch,SYSTEM,System Batch,WA,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,WA2026000100,WA2026000100-02,12100000,11/10/2025,11/10/2025,07:30:00,2026,8,WA,Goods Issue,-42000000.0,0.0,42000000.0,-505415.16,0.0,505415.16,-42000000.0,0.0,42000000.0,INR,USD,INR,C,S,A,JIOSAT,GI to Production,Inventory credit - RM consumed,BATCH,System Batch,SYSTEM,System Batch,WA,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,KR2026000110,KR2026000110-01,21302630,02/28/2026,02/28/2026,15:30:00,2026,11,KR,Tax Posting,-2500000.0,0.0,2500000.0,-30084.24,0.0,30084.24,-2500000.0,0.0,2500000.0,INR,USD,INR,C,S,A,JIOSAT,GST Output Clearing,Quarterly GST output liability,ASHARMA,A. Sharma,FINANCE_MGR,Finance Manager,KR,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,KR2026000110,KR2026000110-02,10100000,02/28/2026,02/28/2026,15:30:00,2026,11,KR,Tax Posting,2500000.0,2500000.0,0.0,30084.24,30084.24,0.0,2500000.0,2500000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,GST Output Clearing,Bank receipt - GST refund,ASHARMA,A. Sharma,FINANCE_MGR,Finance Manager,KR,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,ZP2026000120,ZP2026000120-01,52004000,03/31/2026,03/31/2026,18:00:00,2026,12,ZP,Payment,2700000.0,2700000.0,0.0,32490.97,32490.97,0.0,2700000.0,2700000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Interest Expense YE,Annual interest on term loan,SYSTEM,System Batch,SYSTEM,System Batch,ZP,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,ZP2026000120,ZP2026000120-02,20100000,03/31/2026,03/31/2026,18:00:00,2026,12,ZP,Payment,-2700000.0,0.0,2700000.0,-32490.97,0.0,32490.97,-2700000.0,0.0,2700000.0,INR,USD,INR,C,S,A,JIOSAT,Interest Expense YE,Short-term borrowing interest,SYSTEM,System Batch,SYSTEM,System Batch,ZP,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,SA2026000130,SA2026000130-01,52002500,01/15/2026,01/15/2026,20:45:00,2026,10,SA,Manual Journal,1000000.0,1000000.0,0.0,12033.69,12033.69,0.0,1000000.0,1000000.0,0.0,INR,USD,INR,D,N,M,JIOSAT,Consultancy Fee - Manual,External consultant fee,SBPATIL,S. B. Patil,SBPATIL,S. B. Patil,SA,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,SA2026000130,SA2026000130-02,10100000,01/15/2026,01/15/2026,20:45:00,2026,10,SA,Manual Journal,-1000000.0,0.0,1000000.0,-12033.69,0.0,12033.69,-1000000.0,0.0,1000000.0,INR,USD,INR,C,N,M,JIOSAT,Consultancy Fee - Manual,Bank payment to consultant,SBPATIL,S. B. Patil,SBPATIL,S. B. Patil,SA,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,AB2026000140,AB2026000140-01,41001400,03/31/2026,03/31/2026,23:50:00,2026,12,AB,Manual Adjustment,500000.0,500000.0,0.0,6016.85,6016.85,0.0,500000.0,500000.0,0.0,INR,USD,INR,D,N,M,JIOSAT,Auditor Adjustment YE,Management override - revenue adj,MGMT,Senior Manager,MGMT,Senior Manager,AB,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,AB2026000140,AB2026000140-02,21200000,03/31/2026,03/31/2026,23:50:00,2026,12,AB,Manual Adjustment,-500000.0,0.0,500000.0,-6016.85,0.0,6016.85,-500000.0,0.0,500000.0,INR,USD,INR,C,N,M,JIOSAT,Auditor Adjustment YE,Accrual reversal entry,MGMT,Senior Manager,MGMT,Senior Manager,AB,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,SA2026000150,SA2026000150-01,41301600,04/05/2026,04/05/2026,09:00:00,2026,12,SA,Manual Journal,600000.0,600000.0,0.0,7220.22,7220.22,0.0,600000.0,600000.0,0.0,INR,USD,INR,D,N,M,JIOSAT,Post-Closing Misc Income,Late income recognised,RDESAI,R. Desai,FINANCE_MGR,Finance Manager,SA,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,SA2026000150,SA2026000150-02,11500000,04/05/2026,04/05/2026,09:00:00,2026,12,SA,Manual Journal,-600000.0,0.0,600000.0,-7220.22,0.0,7220.22,-600000.0,0.0,600000.0,INR,USD,INR,C,N,M,JIOSAT,Post-Closing Misc Income,Prepaid writedown offset,RDESAI,R. Desai,FINANCE_MGR,Finance Manager,SA,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,SA2026000160,SA2026000160-01,41301600,03/15/2026,03/15/2026,02:15:00,2026,12,SA,Manual Journal,600000.0,600000.0,0.0,7220.22,7220.22,0.0,600000.0,600000.0,0.0,INR,USD,INR,D,N,M,JIOSAT,Misc Income - Odd Hours,Unplanned misc income (Sunday),OCPL01,External Consultant,FINANCE_MGR,Finance Manager,SA,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,SA2026000160,SA2026000160-02,11500000,03/15/2026,03/15/2026,02:15:00,2026,12,SA,Manual Journal,-600000.0,0.0,600000.0,-7220.22,0.0,7220.22,-600000.0,0.0,600000.0,INR,USD,INR,C,N,M,JIOSAT,Misc Income - Odd Hours,Prepaid account offset,OCPL01,External Consultant,FINANCE_MGR,Finance Manager,SA,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,RV2026000017,RV2026000017-01,11401000,12/10/2025,12/10/2025,10:00:00,2026,9,RV,Customer Invoice,9500000.0,9500000.0,0.0,114320.1,114320.1,0.0,9500000.0,9500000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Sales Invoice Q3 FY26,AR debit - Q3 billing run,PSINGH,P. Singh,FINANCE_MGR,Finance Manager,RV,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,RV2026000017,RV2026000017-02,41001400,12/10/2025,12/10/2025,10:00:00,2026,9,RV,Customer Invoice,-9500000.0,0.0,9500000.0,-114320.1,0.0,114320.1,-9500000.0,0.0,9500000.0,INR,USD,INR,C,S,A,JIOSAT,Sales Invoice Q3 FY26,Revenue credit Q3,PSINGH,P. Singh,FINANCE_MGR,Finance Manager,RV,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,WA2026000180,WA2026000180-01,12200000,01/20/2026,01/20/2026,14:00:00,2026,10,WA,Goods Issue,18500000.0,18500000.0,0.0,222623.35,222623.35,0.0,18500000.0,18500000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,GR from Production,Finished goods GR debit,BATCH,System Batch,SYSTEM,System Batch,WA,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,WA2026000180,WA2026000180-02,50001000,01/20/2026,01/20/2026,14:00:00,2026,10,WA,Goods Issue,-18500000.0,0.0,18500000.0,-222623.35,0.0,222623.35,-18500000.0,0.0,18500000.0,INR,USD,INR,C,S,A,JIOSAT,GR from Production,COGS - FG production credit,BATCH,System Batch,SYSTEM,System Batch,WA,MANUFACTURING,CC100,PC100
