entity_id,entity_name,account_number,account_description,period_end_date,fiscal_year,fiscal_period,period_type,chart_of_accounts,entity_currency_ec,group_currency_gc,beginning_balance_ec,ending_balance_ec,beginning_balance_gc,ending_balance_gc,financial_statement_category,financial_statement_line,account_grouping_1
ENT01,JIOSAT Manufacturing Pvt. Ltd.,1160001,Retained Earnings,03/31/2026,2026,12,YTD,JIOSAT,INR,USD,-85000000.0,-110000000.0,-1022864.02,-1323706.38,Equity,Retained Earnings,Reserves
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41001400,Sales Revenue - Domestic,03/31/2026,2026,12,YTD,JIOSAT,INR,USD,0.0,-445000000.0,0.0,-5354993.98,Revenue,NET SALES REVENUE,Revenue
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41001500,Sales Revenue - Export,03/31/2026,2026,12,YTD,JIOSAT,INR,USD,0.0,-50500000.0,0.0,-607701.56,Revenue,NET SALES REVENUE,Revenue
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41301200,Interest Income,03/31/2026,2026,12,YTD,JIOSAT,INR,USD,0.0,-4600000.0,0.0,-55354.99,Revenue,Finance income,Other Income
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41301600,Miscellaneous Income,03/31/2026,2026,12,YTD,JIOSAT,INR,USD,0.0,-1800000.0,0.0,-21660.65,Revenue,"Other operating income (expenses), net",Other Income
ENT01,JIOSAT Manufacturing Pvt. Ltd.,50001000,Cost of Goods Sold,03/31/2026,2026,12,YTD,JIOSAT,INR,USD,0.0,248000000.0,0.0,2984356.2,Expenses,COST OF SALES AND SERVICES,COGS
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52001000,Employee Compensation,03/31/2026,2026,12,YTD,JIOSAT,INR,USD,0.0,60000000.0,0.0,722021.66,Expenses,General and administrative expenses,Staff Costs
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52002500,Consultancy and Audit Fees,03/31/2026,2026,12,YTD,JIOSAT,INR,USD,0.0,6000000.0,0.0,72202.17,Expenses,General and administrative expenses,Admin
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52003000,Depreciation Expense,03/31/2026,2026,12,YTD,JIOSAT,INR,USD,0.0,21000000.0,0.0,252707.58,Expenses,Depreciation and amortisation,Depreciation
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52004000,Finance Costs - Interest,03/31/2026,2026,12,YTD,JIOSAT,INR,USD,0.0,11200000.0,0.0,134777.38,Expenses,Finance costs,Finance Costs
